0,Tanzania, Africa
1,Madagascar, Africa
2,Dominican Republic, Central & South America
3,Fiji, Oceania
4,India, Asia
5,Venezuela, Central & South America
6,Uganda, Africa
7,Bolivia, Central & South America
8,Peru, Central & South America
9,Panama, Central & South America
10,Brazil, Central & South America
11,Ecuador, Central & South America
12,Colombia, Central & South America
13,Burma, Asia
14,Papua New Guinea
15,Cuba, Central & South America
16,Togo, Africa
17,Sao Tome, Central & South America
18,Mexico, North America
19,Indonesia, Asia
20,Vanuatu, Oceania
21,Trinidad, Central & South America
22,Vietnam, Asia
23,Nicaragua, Central & South America
24,Ghana, Africa
25,Belize, Central & South America
26,Blend, Blend
27,Jamaica, Central & South America
28,Grenada, Central & South America
29,Guatemala, Central & South America
30,Honduras, Central & South America
31,Costa Rica, Central & South America
32,Haiti, Central & South America
33,Congo, Africa
34,Philippines, Asia
35,Solomon Islands
36,Malaysia, Asia
37,Sri Lanka, Asia
38,Ivory Coast, Africa
39,Gabon, Africa
40,Taiwan, Asia
41,Puerto Rico, Central & South America
42,Martinique, Central & South America
43,Australia, Oceania
44,Liberia, Africa
45,Sierra Leone, Africa
46,Bali, Asia
47,U.S.A., North America
48,Nigeria, Africa
49,St. Lucia, Central & South America
50,St.Vincent-Grenadines, Central & South America
51,Thailand, Asia
52,Tobago, Central & South America
53,Sao Tome & Principe, Central & South America
54,Sumatra, Asia
55,El Salvador, Central & South America
56,Cameroon, Africa
57,Samoa, Oceania
58,China, Asia
59,Principe, Central & South America
60,Sulawesi, Asia
61,Suriname, Central & South America
62,DR Congo, Africa
